# date, vza, vaa, sza, saa, sat_flag, lat, lon, b1, b2, b3, b4, b5, b6, b7, b8a, b8b, b9, b10, b11, b12
2017/01/27 10:23,4.7316815747,269.3240957395,67.973049249,164.3615297203,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.8019839,0.8300581,0.8134708,0.77936846,0.7650297,0.7588994,-99999,-99999,-99999,-99999
2017/02/16 10:21,4.7701232418,269.7200073156,61.990881463,162.7054579871,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.05697285,0.08903555,0.138757,0.15142313,0.16046262,0.17010668,-99999,-99999,-99999,-99999
2017/03/28 10:20,4.759794039,269.5133378168,46.5229806095,161.518738628,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.051004536,0.10882204,0.2689221,0.30754218,0.31736258,0.3283928,-99999,-99999,-99999,-99999
2017/04/24 10:10,8.7739909442,105.8560087085,37.1326486699,156.918490393,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.029457357,0.09507828,0.3404487,0.42082518,0.42507336,0.44037136,-99999,-99999,-99999,-99999
2017/05/17 10:20,4.8493456255,271.2505065216,30.197464455,158.783765932,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.008814679,0.050343808,0.31504992,0.45163172,0.45835277,0.47045338,-99999,-99999,-99999,-99999
2017/05/27 10:20,4.8390901893,271.056366707,28.3725946495,157.365067323,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.009920751,0.045564067,0.27223942,0.41372147,0.42340636,0.4389687,-99999,-99999,-99999,-99999
2017/06/03 10:10,8.7857031693,105.8401959508,28.212421279,151.594928271,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.043106876,0.08384486,0.27556404,0.39106455,0.39895612,0.4240965,-99999,-99999,-99999,-99999
2017/06/13 10:10,8.8005332389,105.89855066,27.5549900272,150.052540811,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.044253625,0.09291505,0.28594697,0.3944866,0.40289524,0.42818826,-99999,-99999,-99999,-99999
2017/06/26 10:20,4.7533223149,269.4467724618,26.8882325045,153.325042176,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.11927009,0.16972664,0.25849533,0.29827315,0.3215125,0.34119862,-99999,-99999,-99999,-99999
2017/07/06 10:20,4.7653237968,269.4520425305,27.6905151035,152.93092015,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.13222344,0.16467161,0.20159179,0.2219539,0.24105193,0.258253,-99999,-99999,-99999,-99999
2017/07/08 10:10,8.7643747627,106.6002774925,28.7330319805,148.399858953,S2B,48.24943924,11.71993065,-99999,-99999,-99999,0.16125235,0.1901652,0.23128709,0.2615274,0.27585566,0.2989643,-99999,-99999,-99999,-99999
2017/07/18 10:10,8.7599411102,106.5676754097,30.2010429121,149.018606653,S2B,48.24943924,11.71993065,-99999,-99999,-99999,0.1749826,0.2054451,0.23796147,0.2643884,0.28345764,0.3038812,-99999,-99999,-99999,-99999
2017/07/21 10:20,4.8643694465,270.1083960649,29.9481365739,153.696452921,S2B,48.24943924,11.71993065,-99999,-99999,-99999,0.13716947,0.15733318,0.18499985,0.2086951,0.2176629,0.2389794,-99999,-99999,-99999,-99999
2017/08/05 10:20,4.8407682049,271.0888046218,33.285212462,155.913267507,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.14268179,0.16689524,0.2033777,0.2238105,0.23040162,0.25342026,-99999,-99999,-99999,-99999
2017/08/07 10:10,8.7587018689,106.551634873,34.5236784271,152.209061847,S2B,48.24943924,11.71993065,-99999,-99999,-99999,0.1993507,0.23371997,0.29456893,0.32461646,0.33359322,0.3549479,-99999,-99999,-99999,-99999
2017/08/22 10:10,8.7529987079,105.8347829972,38.7557756507,155.706376986,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.162237,0.19379993,0.24020308,0.26278353,0.27055642,0.2921288,-99999,-99999,-99999,-99999
2017/08/25 10:20,4.8643039987,271.8652179051,39.0766720137,160.18841597,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.098778166,0.11913964,0.15302567,0.16963457,0.17508452,0.19091056,-99999,-99999,-99999,-99999
2017/09/21 10:10,8.7531032017,105.8318996728,48.9682412981,162.907102132,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.07206287,0.08854155,0.10859417,0.11644915,0.11997759,0.1293246,-99999,-99999,-99999,-99999
2017/10/19 10:20,4.73618091,268.0231568365,58.8320198232,170.396762134,S2B,48.24943924,11.71993065,-99999,-99999,-99999,0.09338171,0.108554475,0.12806746,0.14104135,0.14965951,0.15926291,-99999,-99999,-99999,-99999
2017/12/13 10:24,4.7943175865,270.5000260754,72.0444304324,169.733692231,S2A,48.24943924,11.71993065,-99999,-99999,-99999,0.05461856,0.08355008,0.11648773,0.12581371,0.13533255,0.14277309,-99999,-99999,-99999,-99999
2017/12/15 10:14,8.7920797193,106.5905010838,72.5246291305,167.117474994,S2B,48.24943924,11.71993065,-99999,-99999,-99999,0.069064744,0.0969331,0.13107826,0.1411065,0.1513032,0.15812884,-99999,-99999,-99999,-99999
