# date, vza, vaa, sza, saa, sat_flag, lat, lon, b1, b2, b3, b4, b5, b6, b7, b8a, b8b, b9, b10, b11, b12
2017/02/16 10:21,4.77012324176,269.720007316,61.990881463,162.705457987,S2A,48.2493857561,11.7198614773,-99999,0.0260427035391,0.0411608405411,0.0524718873203,0.0806757584214,0.119649223983,0.131815582514,0.143048703671,0.153459593654,-99999,-99999,-99999,-99999
2017/03/28 10:20,4.75979403903,269.513337817,46.5229806095,161.518738628,S2A,48.2493857561,11.7198614773,-99999,0.0321553833783,0.0539144277573,0.0439125709236,0.0931413024664,0.22970725596,0.268449187279,0.278193533421,0.290177851915,-99999,-99999,-99999,-99999
2017/04/24 10:10,8.77399094419,105.856008708,37.1326486699,156.918490393,S2A,48.2493857561,11.7198614773,-99999,0.0250739064068,0.0433583334088,0.0250362120569,0.0788968577981,0.295476764441,0.381045758724,0.39053440094,0.402030318975,-99999,-99999,-99999,-99999
2017/05/17 10:20,4.84934562555,271.250506522,30.197464455,158.783765932,S2A,48.2493857561,11.7198614773,-99999,0.00207857810892,0.0172077585012,0.00588371045887,0.041113037616,0.280316799879,0.442164421082,0.459501743317,0.457037210464,-99999,-99999,-99999,-99999
2017/05/27 10:20,4.83909018932,271.056366707,28.3725946495,157.365067323,S2A,48.2493857561,11.7198614773,-99999,-0.00113712367602,0.014707621187,0.00424962770194,0.0378901287913,0.266237258911,0.45166477561,0.469638735056,0.484879165888,-99999,-99999,-99999,-99999
2017/06/03 10:10,8.78570316926,105.840195951,28.212421279,151.594928271,S2A,48.2493857561,11.7198614773,-99999,0.0307306572795,0.0415798798203,0.0232903696597,0.0611065626144,0.288224101067,0.47573825717,0.490606546402,0.510434269905,-99999,-99999,-99999,-99999
2017/06/13 10:10,8.8005332389,105.89855066,27.5549900272,150.052540811,S2A,48.2493857561,11.7198614773,-99999,0.0273075494915,0.0418570004404,0.0255131833255,0.0708179548383,0.303848534822,0.481409490108,0.496479600668,0.521907329559,-99999,-99999,-99999,-99999
2017/06/26 10:20,4.75332231492,269.446772462,26.8882325045,153.325042176,S2A,48.2493857561,11.7198614773,-99999,0.0185360591859,0.0354250147939,0.02351212129,0.0642252489924,0.272329390049,0.411184251308,0.434126228094,0.465401858091,-99999,-99999,-99999,-99999
2017/07/06 10:20,4.76532379682,269.452042531,27.6905151035,152.93092015,S2A,48.2493857561,11.7198614773,-99999,0.0223492309451,0.0463086180389,0.0370150879025,0.0899413228035,0.262570232153,0.351374745369,0.369742780924,0.40247541666,-99999,-99999,-99999,-99999
2017/07/08 10:10,8.76437476269,106.600277493,28.7330319805,148.399858953,S2B,48.2493857561,11.7198614773,-99999,0.0609472841024,0.0819361135364,0.0677394643426,0.13011226058,0.307457715273,0.399375706911,0.418847084045,0.457288265228,-99999,-99999,-99999,-99999
2017/07/18 10:10,8.75994111022,106.56767541,30.2010429121,149.018606653,S2B,48.2493857561,11.7198614773,-99999,0.0554805509746,0.0886250138283,0.140474542975,0.179480612278,0.228256806731,0.267181664705,0.288814365864,0.323236465454,-99999,-99999,-99999,-99999
