# date, sm, lat, lon, sm_std
2017/07/15 12:00,0.249509682258,48.249394686,11.7198709761,0.0209097426572
2017/07/15 12:10,0.249134073655,48.249394686,11.7198709761,0.0206339346399
2017/07/15 12:20,0.248902879655,48.249394686,11.7198709761,0.0207722298317
2017/07/15 12:30,0.248516087731,48.249394686,11.7198709761,0.0206953146266
2017/07/15 12:40,0.248301327229,48.249394686,11.7198709761,0.0205273596924
2017/07/15 12:50,0.248189724982,48.249394686,11.7198709761,0.0205148658464
2017/07/15 13:00,0.247749122481,48.249394686,11.7198709761,0.0203790124477
2017/07/15 13:10,0.247476776441,48.249394686,11.7198709761,0.0202235945092
2017/07/15 13:20,0.247317738831,48.249394686,11.7198709761,0.0200496163463
2017/07/15 13:30,0.24699426194,48.249394686,11.7198709761,0.0197943052438
2017/07/15 13:40,0.246828377247,48.249394686,11.7198709761,0.0197344860723
2017/07/15 13:50,0.246505672733,48.249394686,11.7198709761,0.019450966706
2017/07/15 14:00,0.246168389916,48.249394686,11.7198709761,0.0194432103366
2017/07/15 14:10,0.245773861806,48.249394686,11.7198709761,0.0194437545326
2017/07/15 14:20,0.245386267702,48.249394686,11.7198709761,0.0193092948897
2017/07/15 14:30,0.24511226515,48.249394686,11.7198709761,0.0191402670874
2017/07/15 14:40,0.244787106911,48.249394686,11.7198709761,0.0188632388511
2017/07/15 14:50,0.244326385359,48.249394686,11.7198709761,0.0190326093692
2017/07/15 15:00,0.244042746723,48.249394686,11.7198709761,0.019047419689
2017/07/15 15:10,0.243595600128,48.249394686,11.7198709761,0.0189256188062
2017/07/15 15:20,0.243482445677,48.249394686,11.7198709761,0.018914121136
2017/07/15 15:30,0.243160729607,48.249394686,11.7198709761,0.0185391666679
2017/07/15 15:40,0.242660261691,48.249394686,11.7198709761,0.0183214935265
2017/07/15 15:50,0.242254108191,48.249394686,11.7198709761,0.0184945433384
2017/07/15 16:00,0.241981349885,48.249394686,11.7198709761,0.0182472657632
2017/07/15 16:10,0.241466301183,48.249394686,11.7198709761,0.0183005089798
2017/07/15 16:20,0.241179578006,48.249394686,11.7198709761,0.0183338280066
2017/07/15 16:30,0.240784913301,48.249394686,11.7198709761,0.0182323683539
2017/07/15 16:40,0.240619281928,48.249394686,11.7198709761,0.0181077320515
2017/07/15 16:50,0.240044931571,48.249394686,11.7198709761,0.0181626195034
2017/07/15 17:00,0.23964814345,48.249394686,11.7198709761,0.0180785989548
2017/07/15 17:10,0.239469667276,48.249394686,11.7198709761,0.0182190096847
2017/07/15 17:20,0.239015666147,48.249394686,11.7198709761,0.0181157358032
2017/07/15 17:30,0.238670349121,48.249394686,11.7198709761,0.0181318819762
2017/07/15 17:40,0.238271983961,48.249394686,11.7198709761,0.0180498563043
2017/07/15 17:50,0.238105068604,48.249394686,11.7198709761,0.0179260043742
2017/07/15 18:00,0.238105068604,48.249394686,11.7198709761,0.0179260043742
2017/07/15 18:10,0.237758941948,48.249394686,11.7198709761,0.0179419684662
2017/07/15 18:20,0.237346592049,48.249394686,11.7198709761,0.0181430430989
2017/07/15 18:30,0.237180093924,48.249394686,11.7198709761,0.0180019465652
2017/07/15 18:40,0.236955863734,48.249394686,11.7198709761,0.0178552887223
2017/07/15 18:50,0.23683313777,48.249394686,11.7198709761,0.018017965113
2017/07/15 19:00,0.23648588111,48.249394686,11.7198709761,0.0180340072611
2017/07/15 19:10,0.236375791331,48.249394686,11.7198709761,0.0179160286413
2017/07/15 19:20,0.236142647763,48.249394686,11.7198709761,0.0179623127034
2017/07/15 19:30,0.236084972819,48.249394686,11.7198709761,0.0179558969528
2017/07/15 19:40,0.235904194415,48.249394686,11.7198709761,0.018113850586
2017/07/15 19:50,0.235904194415,48.249394686,11.7198709761,0.018113850586
2017/07/15 20:00,0.235846415162,48.249394686,11.7198709761,0.0181089263812
2017/07/15 20:10,0.235846415162,48.249394686,11.7198709761,0.0181089263812
2017/07/15 20:20,0.235678295294,48.249394686,11.7198709761,0.017986971198
2017/07/15 20:30,0.235567907492,48.249394686,11.7198709761,0.0178695001701
