# date, sm, lat, lon
2017/03/23 10:20,0.216046708326,48.249394686,11.7198709761
2017/03/23 10:30,0.215981433789,48.249394686,11.7198709761
2017/03/23 10:40,0.215798149506,48.249394686,11.7198709761
2017/03/23 10:50,0.215478484829,48.249394686,11.7198709761
2017/03/23 11:00,0.21530662477,48.249394686,11.7198709761
2017/03/23 11:10,0.215134605765,48.249394686,11.7198709761
2017/03/23 11:20,0.215014425417,48.249394686,11.7198709761
2017/03/23 11:30,0.214885555208,48.249394686,11.7198709761
2017/03/23 11:40,0.214756570756,48.249394686,11.7198709761
2017/03/23 11:50,0.214573865136,48.249394686,11.7198709761
2017/03/23 12:00,0.214379327993,48.249394686,11.7198709761
2017/03/23 12:10,0.214196398854,48.249394686,11.7198709761
2017/03/23 12:20,0.214078868429,48.249394686,11.7198709761
2017/03/23 12:30,0.214075945318,48.249394686,11.7198709761
2017/03/23 12:40,0.213785829643,48.249394686,11.7198709761
2017/03/23 12:50,0.213601631423,48.249394686,11.7198709761
2017/03/23 13:00,0.213225148618,48.249394686,11.7198709761
2017/03/23 13:10,0.212912149727,48.249394686,11.7198709761
2017/03/23 13:20,0.21273915718,48.249394686,11.7198709761
2017/03/23 13:30,0.212425780793,48.249394686,11.7198709761
2017/03/23 13:40,0.212304952244,48.249394686,11.7198709761
2017/03/23 13:50,0.212184024354,48.249394686,11.7198709761
2017/03/23 14:00,0.212128830453,48.249394686,11.7198709761
2017/03/23 14:10,0.211999066174,48.249394686,11.7198709761
2017/03/23 14:20,0.211933225393,48.249394686,11.7198709761
2017/03/23 14:30,0.211748098334,48.249394686,11.7198709761
2017/03/23 14:40,0.211748098334,48.249394686,11.7198709761
2017/03/23 14:50,0.211508750916,48.249394686,11.7198709761
2017/03/23 15:00,0.211335142454,48.249394686,11.7198709761
2017/03/23 15:10,0.211020834744,48.249394686,11.7198709761
2017/03/23 15:20,0.210769325495,48.249394686,11.7198709761
2017/03/23 15:30,0.210647813976,48.249394686,11.7198709761
2017/03/23 15:40,0.210462100804,48.249394686,11.7198709761
2017/03/23 15:50,0.210343626638,48.249394686,11.7198709761
2017/03/23 16:00,0.210157754521,48.249394686,11.7198709761
2017/03/23 16:10,0.210091630618,48.249394686,11.7198709761
2017/03/23 16:20,0.210091630618,48.249394686,11.7198709761
2017/03/23 16:30,0.209973052144,48.249394686,11.7198709761
2017/03/23 16:40,0.209657753507,48.249394686,11.7198709761
2017/03/23 16:50,0.209535924097,48.249394686,11.7198709761
2017/03/23 17:00,0.209230942031,48.249394686,11.7198709761
2017/03/23 17:10,0.209175246457,48.249394686,11.7198709761
2017/03/23 17:20,0.209044578175,48.249394686,11.7198709761
2017/03/23 17:30,0.209044578175,48.249394686,11.7198709761
2017/03/23 17:40,0.208978282909,48.249394686,11.7198709761
2017/03/23 17:50,0.208978282909,48.249394686,11.7198709761
2017/03/23 18:00,0.208922537665,48.249394686,11.7198709761
2017/03/23 18:10,0.208922537665,48.249394686,11.7198709761
2017/03/23 18:20,0.208922537665,48.249394686,11.7198709761
2017/03/23 18:30,0.208922537665,48.249394686,11.7198709761
2017/03/23 18:40,0.208922537665,48.249394686,11.7198709761
2017/03/23 18:50,0.208922537665,48.249394686,11.7198709761
2017/03/23 19:00,0.208922537665,48.249394686,11.7198709761
2017/03/23 19:10,0.208922537665,48.249394686,11.7198709761
2017/03/23 19:20,0.209044578175,48.249394686,11.7198709761
2017/03/23 19:30,0.208988832931,48.249394686,11.7198709761
2017/03/23 19:40,0.208988832931,48.249394686,11.7198709761
2017/03/23 19:50,0.209044578175,48.249394686,11.7198709761
2017/03/23 20:00,0.20911081632,48.249394686,11.7198709761
2017/03/23 20:10,0.20922960341,48.249394686,11.7198709761
2017/03/23 20:20,0.209360271692,48.249394686,11.7198709761
2017/03/23 20:30,0.209471613169,48.249394686,11.7198709761
2017/03/23 20:40,0.209842612346,48.249394686,11.7198709761
2017/03/23 20:50,0.209895009796,48.249394686,11.7198709761
2017/03/23 21:00,0.209973052144,48.249394686,11.7198709761
2017/03/23 21:10,0.210091630618,48.249394686,11.7198709761
2017/03/23 21:20,0.210091630618,48.249394686,11.7198709761
2017/03/23 21:30,0.210091630618,48.249394686,11.7198709761
2017/03/23 21:40,0.21014717718,48.249394686,11.7198709761
2017/03/23 21:50,0.210157754521,48.249394686,11.7198709761
2017/03/23 22:00,0.210277502735,48.249394686,11.7198709761
2017/03/23 22:10,0.210395976901,48.249394686,11.7198709761
2017/03/23 22:20,0.210517597695,48.249394686,11.7198709761
2017/03/23 22:30,0.21058366696,48.249394686,11.7198709761
2017/03/23 22:40,0.210769325495,48.249394686,11.7198709761
2017/03/23 22:50,0.210650851329,48.249394686,11.7198709761
2017/03/23 23:00,0.210780953368,48.249394686,11.7198709761
2017/03/23 23:10,0.210836350918,48.249394686,11.7198709761
2017/03/23 23:20,0.210836350918,48.249394686,11.7198709761
2017/03/23 23:30,0.210836350918,48.249394686,11.7198709761
2017/03/23 23:40,0.210966338714,48.249394686,11.7198709761
2017/03/23 23:50,0.211021681627,48.249394686,11.7198709761
2017/03/24 00:00,0.211021681627,48.249394686,11.7198709761
2017/03/24 00:10,0.211140155792,48.249394686,11.7198709761
2017/03/24 00:20,0.211140155792,48.249394686,11.7198709761
2017/03/24 00:30,0.211379823585,48.249394686,11.7198709761
2017/03/24 00:40,0.211379823585,48.249394686,11.7198709761
2017/03/24 00:50,0.211379823585,48.249394686,11.7198709761
2017/03/24 01:00,0.211498089135,48.249394686,11.7198709761
