# date,lai,canht,sm,lat,lon,lai_std,canht_std,sm_std
2017-01-01 00:00:00,0.0019999989308420001,0.0014999991981315,0.38856767147799998,48.25,11.75,0.0,0.0,0.0157569250704
2017-01-02 00:00:00,0.0019999989308420001,0.0014999991981315,0.39070752143900001,48.25,11.75,0.0,0.0,0.016963021367200001
2017-01-03 00:00:00,0.0019999989308420001,0.0014999991981315,0.395872235894,48.25,11.75,0.0,0.0,0.0192641744056
2017-01-04 00:00:00,0.0019999989308420001,0.0014999991981315,0.39979513853799997,48.25,11.75,0.0,0.0,0.022338971962899998
2017-01-05 00:00:00,0.0019999989308420001,0.0014999991981315,0.40225274711800002,48.25,11.75,0.0,0.0,0.023007378297199999
2017-01-06 00:00:00,0.0019999989308420001,0.0014999991981315,0.40333307832499998,48.25,11.75,0.0,0.0,0.022259462153400002
2017-01-07 04:00:00,0.0019999989308420001,0.0014999991981315,0.40620962768800001,48.25,11.75,0.0,0.0,0.0238588117792
2017-01-08 00:00:00,0.0019999989308420001,0.0014999991981315,0.405751600564,48.25,11.75,0.0,0.0,0.02581579765
2017-01-09 00:00:00,0.0019999989308420001,0.0014999991981315,0.40382176429,48.25,11.75,0.0,0.0,0.026823231034999999
2017-01-10 00:00:00,0.0019999989308420001,0.0014999991981315,0.405547718108,48.25,11.75,0.0,0.0,0.028366736793399999
2017-01-11 00:00:00,0.0019999989308420001,0.0014999991981315,0.40249243885300001,48.25,11.75,0.0,0.0,0.028741981040899998
2017-01-12 00:00:00,0.0019999989308420001,0.0014999991981315,0.39953905254599997,48.25,11.75,0.0,0.0,0.028109460093699998
2017-01-13 00:00:00,0.0019999989308420001,0.0014999991981315,0.40018950909399997,48.25,11.75,0.0,0.0,0.029334449705100001
2017-01-14 00:00:00,0.0019999989308420001,0.0014999991981315,0.39891125500199998,48.25,11.75,0.0,0.0,0.028482742168000001
2017-01-15 00:00:00,0.0019999989308420001,0.0014999991981315,0.39854473531200002,48.25,11.75,0.0,0.0,0.02882711416
2017-01-16 01:00:00,0.0019999989308420001,0.0014999991981315,0.39558038979799998,48.25,11.75,0.0,0.0,0.029303728931799999
2017-01-17 00:00:00,0.0019999989308420001,0.0014999991981315,0.399206121862,48.25,11.75,0.0,0.0,0.032118167950700001
2017-01-18 00:00:00,0.0019999989308420001,0.0014999991981315,0.40212588995699999,48.25,11.75,0.0,0.0,0.036718691132999998
2017-01-19 00:00:00,0.0019999989308420001,0.0014999991981315,0.405805917382,48.25,11.75,0.0,0.0,0.0338755435218
2017-01-20 00:00:00,0.0019999989308420001,0.0014999991981315,0.41335878401999998,48.25,11.75,0.0,0.0,0.0323871243563
2017-01-21 00:00:00,0.0019999989308420001,0.0014999991981315,0.42193255275500002,48.25,11.75,0.0,0.0,0.033677808214800001
2017-01-22 00:00:00,0.0019999989308420001,0.0014999991981315,0.42119717657599998,48.25,11.75,0.0,0.0,0.034636561551599998
2017-01-23 00:00:00,0.0019999989308420001,0.0014999991981315,0.41980862587700002,48.25,11.75,0.0,0.0,0.034015320331999999
2017-01-24 00:00:00,0.0019999989308420001,0.0014999991981315,0.42173149555900002,48.25,11.75,0.0,0.0,0.035352182294700003
2017-01-25 00:00:00,0.0019999989308420001,0.0014999991981315,0.42422607570900001,48.25,11.75,0.0,0.0,0.0359816134964
2017-01-26 00:00:00,0.0019999989308420001,0.0014999991981315,0.426485674679,48.25,11.75,0.0,0.0,0.035279235373999997
2017-01-27 00:00:00,0.0019999989308420001,0.0014999991981315,0.42815581113099999,48.25,11.75,0.0,0.0,0.036820750001799997
2017-01-28 00:00:00,0.0019999989308420001,0.0014999991981315,0.42935433506999998,48.25,11.75,0.0,0.0,0.035805603704499998
2017-01-29 00:00:00,0.0019999989308420001,0.0014999991981315,0.42922715187100002,48.25,11.75,0.0,0.0,0.037094877613600002
2017-01-30 00:00:00,0.0019999989308420001,0.0014999991981315,0.42861592769599999,48.25,11.75,0.0,0.0,0.037795224903499999
2017-01-31 00:00:00,0.0019999989308420001,0.0014999991981315,0.42560390353200001,48.25,11.75,0.0,0.0,0.037287242351599997
2017-02-01 00:00:00,0.0019999989308420001,0.0014999991981315,0.422775086164,48.25,11.75,0.0,0.0,0.038636040353700003
2017-02-02 00:00:00,0.0019999989308420001,0.0014999991981315,0.42266797721400001,48.25,11.75,0.0,0.0,0.039564514842999998
2017-02-03 00:00:00,0.0019999989308420001,0.0014999991981315,0.42129986494799998,48.25,11.75,0.0,0.0,0.040224738008500002
2017-02-04 00:00:00,0.0019999989308420001,0.0014999991981315,0.41961012422999999,48.25,11.75,0.0,0.0,0.0436193323777
2017-02-05 00:00:00,0.0019999989308420001,0.0014999991981315,0.41702918827500002,48.25,11.75,0.0,0.0,0.044690516191599999
2017-02-06 00:00:00,0.0019999989308420001,0.0014999991981315,0.41533218354000001,48.25,11.75,0.0,0.0,0.042875546581500001
2017-02-07 00:00:00,0.0019999989308420001,0.0014999991981315,0.41505894124499998,48.25,11.75,0.0,0.0,0.037598379465700001
2017-02-08 00:00:00,0.0019999989308420001,0.0014999991981315,0.41051109880199999,48.25,11.75,0.0,0.0,0.0394689014154
2017-02-09 00:00:00,0.0019999989308420001,0.0014999991981315,0.40917500704499998,48.25,11.75,0.0,0.0,0.039469364941700003
2017-02-10 00:00:00,0.0019999989308420001,0.0014999991981315,0.40733962625300002,48.25,11.75,0.0,0.0,0.039624974433399997
2017-02-11 00:00:00,0.0019999989308420001,0.0014999991981315,0.40351640045600001,48.25,11.75,0.0,0.0,0.041220139740600001
