# date, vza, vaa, sza, saa, lat, lon, sat_flag, hv, vv
2017/04/10 05:26,36.2932624817,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.00747778685763,0.0561432689428
2017/04/11 05:17,45.1378135681,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00357740535401,0.0330790430307
2017/04/12 17:06,42.8620071411,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00533374585211,0.0351210385561
2017/04/16 05:26,36.3627510071,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00858610589057,0.0907610878348
2017/04/17 05:17,45.5213508606,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.00974065996706,0.0473730750382
2017/04/18 17:06,42.6680107117,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0167179834098,0.0771285369992
2017/04/19 16:58,33.5000610352,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0133893173188,0.136554062366
2017/04/22 05:26,36.1626548767,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.00775490095839,0.0453195497394
2017/04/23 05:17,44.6420936584,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00900970213115,0.0303922947496
2017/04/24 17:06,42.7983856201,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0112878084183,0.0456347838044
2017/04/28 05:26,34.8680953979,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0184682607651,0.0511415265501
2017/04/29 05:17,44.9207572937,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.012093860656,0.0618494600058
2017/04/30 17:06,42.7990570068,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.014019084163,0.0877345502377
2017/05/01 16:58,33.3802490234,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0142089985311,0.12500475347
2017/05/04 05:26,36.396396637,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0124704930931,0.0583842806518
2017/05/05 05:17,45.1838264465,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00974794663489,0.0411919094622
2017/05/06 17:06,42.7819747925,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0117009589449,0.0541749931872
2017/05/10 05:26,35.3423271179,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00882912520319,0.0254689641297
2017/05/11 05:17,44.5148429871,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.00533416727558,0.0287691261619
2017/05/12 17:06,42.7562599182,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.00935913063586,0.024891866371
2017/05/13 16:58,33.5295677185,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.01179746259,0.0358210355043
2017/05/16 05:26,35.4904327393,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0120463864878,0.0244626123458
2017/05/17 05:17,45.3310089111,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00684090517461,0.0296404771507
2017/05/18 17:06,42.6640853882,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00867037475109,0.019200026989
2017/05/22 05:26,36.0465736389,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0054144016467,0.0178394969553
2017/05/23 05:17,44.6787872314,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.00350308022462,0.0157680679113
2017/05/24 17:06,42.8408927917,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.00488588726148,0.0149949323386
2017/05/28 05:26,35.6426506042,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.00477759214118,0.012531789951
2017/05/29 05:17,44.7813262939,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00465968344361,0.0151609284803
2017/05/30 17:06,42.6069793701,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00523508433253,0.0125740990043
2017/06/03 05:26,36.1355781555,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00778749911115,0.0244002267718
2017/06/04 05:17,43.7203445435,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.00513658998534,0.0190300568938
2017/06/05 17:06,42.805721283,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.00742342788726,0.0256033409387
2017/06/09 05:26,36.2703819275,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.00602933065966,0.024066766724
2017/06/10 05:17,44.8428840637,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00640518544242,0.0254416894168
2017/06/11 17:06,42.6848258972,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.00669185630977,0.0339411795139
2017/06/15 05:26,36.3670730591,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0187263768166,0.0429716706276
2017/06/16 05:17,44.9543533325,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0107988668606,0.029330343008
2017/06/17 17:06,42.7288780212,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0189330652356,0.0744291394949
2017/06/21 05:26,35.2239227295,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0146600846201,0.0313330255449
2017/06/22 05:17,45.5720329285,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0136517994106,0.0276766344905
2017/06/23 17:06,42.6375808716,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0524654872715,0.0548572316766
2017/06/27 05:26,35.9230499268,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0204710830003,0.0698819831014
2017/06/28 05:17,45.26770401,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0232614837587,0.0568747669458
2017/06/29 17:06,42.8437843323,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0375685207546,0.0889501720667
2017/07/03 05:26,36.4510269165,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0160062480718,0.0762772783637
2017/07/04 05:17,45.4685020447,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0219959970564,0.0653803125024
2017/07/05 17:06,42.8421287537,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0228637717664,0.0998920276761
2017/07/09 05:26,36.4629402161,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.023711964488,0.0549166984856
2017/07/10 05:17,44.35313797,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0246469378471,0.102894894779
2017/07/11 17:06,42.7796897888,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0186950676143,0.0935419946909
2017/07/15 05:26,36.0634498596,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0160360112786,0.0922369509935
2017/07/16 05:17,44.9950294495,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0104726105928,0.0484729371965
2017/07/17 17:06,42.7772636414,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.022911157459,0.0737413018942
2017/07/21 05:26,36.2471847534,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0287209190428,0.103767693043
2017/07/22 05:17,44.9492073059,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0110382065177,0.0462872646749
2017/07/23 17:06,42.8397750854,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0141370613128,0.075458727777
2017/07/27 05:26,35.8574295044,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0400845147669,0.124617278576
2017/07/28 05:17,44.9559936523,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0238065384328,0.0824084058404
2017/07/29 17:06,42.8868141174,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0163868237287,0.084280051291
2017/08/02 05:26,36.0616760254,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0366028808057,0.246305793524
2017/08/03 05:17,45.9476051331,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0201051943004,0.155355498195
2017/08/04 17:06,42.6701278687,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0177435223013,0.143837809563
2017/08/08 05:26,35.9846153259,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.016909006983,0.0532447583973
2017/08/09 05:17,45.3859367371,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0175183210522,0.0673713386059
2017/08/10 17:06,42.8337364197,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.020619077608,0.0946200788021
2017/08/14 05:26,35.8424758911,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0191676001996,0.0580873824656
2017/08/15 05:17,44.5257225037,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.00791588239372,0.0507369786501
2017/08/16 17:06,42.8392715454,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0141851305962,0.102581419051
2017/08/20 05:26,36.7034721375,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.027652291581,0.124827422202
2017/08/21 05:17,46.0709953308,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0103530297056,0.0578303448856
2017/08/22 17:06,42.6217269897,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0103542413563,0.0464219078422
2017/08/26 05:26,35.8606376648,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.018864620477,0.0855686366558
2017/08/27 05:17,44.6910514832,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0109714511782,0.0210543312132
2017/08/28 17:06,42.7614097595,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0110829910263,0.0482628084719
2017/09/01 05:26,36.0223731995,0.0,0.0,0.0,48.2494392395,11.7199306488,S1B,0.0149337360635,0.106087364256
2017/09/02 05:17,45.9170227051,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0307589285076,0.0777573212981
2017/09/03 17:06,42.7032775879,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.0151091236621,0.10638833791
2017/09/07 05:26,36.1192893982,0.0,0.0,0.0,48.2494392395,11.7199306488,S1A,0.021436130628,0.109907969832
